Instrument,Deal PermID,Package Identifier,Master Deal Type Code,All New Issues Manager Roles Code,Manager's Role Code,Dates: Issue Date,Issuer/Borrower Name Full,Issuer/Borrower PermID,Issue Type,Transaction Status,Issuer/Borrower Nation,New Issues Current Filing Date,Offer Price (%),Proceeds Amount Incl Overallotment Sold All Markets,Issuer/Borrower Stock Exchange Name,Security Type All Markets,Offering Technique,New Issues Fees: Gross Spread as Pct of Principal Amount This Market,Issuer/Borrower TRBC Economic Sector,Bookrunner Or Co-Managers,Master Deal Type,New Issues Offer Price,New Issues Fees: Gross Spread as Pct of Principal Amount This Market,Adjusted Offer Price,Stock Price at Close of Issue Date,Issuer Stock Price 1 Day Prior to Filing Date,ISIN,Financials: Price Earnings Ratio Before Offering Percent,Financials: Price/Book Value Before Offer,Financials: Price/Book Value After Offer,Financials: EBITDA Before Offering Host Currency,New Issues Date Company Founded
154084665680,154084665680,2343642,EC,JB|JB,JB|JB,2008-03-20,Sweet China PLC,4295897363,IPO,Live,United Kingdom,2008-03-20,,2.7,London AIM,Ordinary Or Common Shares,Offer for Subscription,na,Financials,Zimmerman Adams International|Hichens Harrison,Euro & Foreign Common Stock,0.09,-999.0,0.178,0.198,,GB00B06L6200,-0.264,,1.557,-0.8,
154084665743,154084665743,2142537,WC,BM,BM,2006-06-26,Sound Oil PLC,4295897650,IPO,Cancelled,United Kingdom,,,,London AIM,Ordinary Shares,Offer for Sale,na,Energy,Hichens Harrison,US Common Stock Withdrawn From Registration,,-999.0,,,,,,,,,1/1/2005 12:00:00 AM
154084666244,154084666244,2327782,EC,BM,BM,2008-01-03,Steppingstone Associates PLC,4295898984,IPO,Live,United Kingdom,2007-01-03,,1.1,London AIM,Ordinary Or Common Shares,Offer for Subscription,5.00000,Industrials,SVS Securities Plc,Euro & Foreign Common Stock,0.04,5.0,0.078,,,GB00B28B2809,,,,,11/1/2007 12:00:00 AM
154084668157,154084668157,2314210,EC,BM,BM,2007-11-22,HipCricket Inc,4298009415,IPO,Live,United States,2007-11-27,,8.2212962,London AIM,Ordinary Participating Certificates,Offer for Subscription,na,Technology,Collins Stewart Ltd,Euro & Foreign Common Stock,2.6,-999.0,5.364,5.602,,USU4331P1031,,,11.631,0.0,
154084670801,154084670801,118174,UKC,BM,BM,1994-02-11,Clinical Computing PLC,4295895977,IPO,Live,United Kingdom,,,5.022,London AIM,Ordinary Or Common Shares,Firm Commitment,na,Technology,Keith Bayley Rogers,UK Common Stock,1.24,-999.0,,,,GB0002063369,,,,,1/1/1979 12:00:00 AM
154084672095,154084672095,118297,UKC,BM,BM,1994-02-22,Radstone Technology PLC,4295896095,IPO,Live,United Kingdom,,,12.5289325,London AIM,Ordinary Or Common Shares,Offer for Subscription,0.75040,Technology,Beeson Gregory Ltd,UK Common Stock,1.25,0.75,,,,,,,,,
154084673049,154084673049,119935,UKC,BM|CM,BM|CM,1994-06-22,3i Group PLC,4295895807,IPO,Live,United Kingdom,,,711.51722752,London AIM,Ordinary Or Common Shares,Offer for Subscription,0.62500,Financials,Baring Brothers & Co Ltd,UK Common Stock,2.72,0.625,,,,,112.817,205.666,0.733,106.3,1/1/1945 12:00:00 AM
154084673663,154084673663,121863,UKC,BM,BM,1994-12-05,RAP Group PLC,,IPO,Live,United Kingdom,,,6.059637,London AIM,Ordinary Or Common Shares,Offer for Subscription,1.00000,Consumer Cyclicals,Williams de Broe PLC,UK Common Stock,1.42,1.0,,,,,,,,,
154084674425,154084674425,123108,UKC,BM,BM,1995-05-11,Antonov PLC,4295895054,IPO,Live,United Kingdom,,,3.75,London AIM|EuronextAM,Ordinary Or Common Shares,Offer for Subscription,3.00000,Consumer Cyclicals,Henry Cooke Lumsden,UK Common Stock,0.4,3.0,,,,,,,,,1/1/1990 12:00:00 AM
154084675498,154084675498,501373,UKC,BM|CM,BM|CM,1995-11-24,Celebrated Group PLC,4295895099,IPO,Live,United Kingdom,,,2.25,London AIM,Ordinary Or Common Shares,Placement,na,Consumer Cyclicals,Not Available,UK Common Stock,0.18,-999.0,,,,,,,,,
154084675943,154084675943,126144,EC,BM,BM,1996-04-22,Stentor PLC,4295874922,IPO,Live,Ireland,,,3.8057148,London AIM,Ordinary Or Common Shares,Placement,3.00000,Technology,John East & Partners Ltd,Euro & Foreign Common Stock,0.72,3.0,,,,,,,,,
154084675971,154084675971,125511,UKC,BM,BM,1996-02-13,Close Brothers Venture Capital Trust PLC,5000053964,IPO,Live,United Kingdom,,,30.0,London AIM,Ordinary Or Common Shares,Placement,5.00000,Financials,Not Available,UK Common Stock,1.0,5.0,,,,,,,,,
154084675992,154084675992,125837,UKC,BM,BM,1996-03-20,Systems Integrated Research PLC,4295895613,IPO,Live,United Kingdom,,,4.3162053,London AIM,Ordinary Or Common Shares,Placement,3.00000,Technology,Durlacher Corp PLC,UK Common Stock,1.15,3.0,,,,GB0008690181,,,,,
154084676198,154084676198,126222,UKC,BM|CM,BM|CM,1996-04-30,Just Group PLC,4295895190,IPO,Live,United Kingdom,,,0.9,London AIM,Ordinary Or Common Shares,Placement,3.50000,Technology,Neill Clerk Capital Limited,UK Common Stock,0.03,3.5,,,,GB0004793765,,,,,
