Instrument,Deal PermID,Package Identifier,Master Deal Type Code,All New Issues Manager Roles Code,Manager's Role Code,Dates: Issue Date,Issuer/Borrower Name Full,Issuer/Borrower PermID,Issue Type,Transaction Status,Issuer/Borrower Nation,New Issues Current Filing Date,Offer Price (%),Proceeds Amount Incl Overallotment Sold All Markets,Issuer/Borrower Stock Exchange Name,Security Type All Markets,Offering Technique,New Issues Fees: Gross Spread as Pct of Principal Amount This Market,Issuer/Borrower TRBC Economic Sector,Bookrunner Or Co-Managers,Master Deal Type,New Issues Offer Price,New Issues Fees: Gross Spread as Pct of Principal Amount This Market.1,Adjusted Offer Price,Stock Price at Close of Issue Date,Issuer Stock Price 1 Day Prior to Filing Date,ISIN,RICs,bestMatch,symbol,error,best_RIC,RIC_LSE
154084665680,154084665680,2343642,EC,JB|JB,JB|JB,2008-03-20,Sweet China PLC,4295897363.0,IPO,Live,United Kingdom,2008-03-20,,2.7,London AIM,Ordinary Or Common Shares,Offer for Subscription,na,Financials,Zimmerman Adams International|Hichens Harrison,Euro & Foreign Common Stock,0.09,-999.0,0.178,0.198,,GB00B06L6200,"['CHCC.L^F11', 'SWC.L^E06', 'SWCL.BE^F07', 'CHCC.BE^E12', 'CHCgb.PZ^F11', 'SWC.PO^E06', 'SWCS.PO^L08', 'CHCC.TG^K12']",{'error': 'No best match available'},GB00B06L6200,,,
154084665743,154084665743,2142537,WC,BM,BM,2006-06-26,Sound Oil PLC,4295897650.0,IPO,Cancelled,United Kingdom,,,,London AIM,Ordinary Shares,Offer for Sale,na,Energy,Hichens Harrison,US Common Stock Withdrawn From Registration,,-999.0,,,,,,,,,,
154084666244,154084666244,2327782,EC,BM,BM,2008-01-03,Steppingstone Associates PLC,4295898984.0,IPO,Live,United Kingdom,2007-01-03,,1.1,London AIM,Ordinary Or Common Shares,Offer for Subscription,5.00000,Industrials,SVS Securities Plc,Euro & Foreign Common Stock,0.04,5.0,0.078,,,GB00B28B2809,"['1700.L^L08', '1700.BE^L08', '1700.PO^L08', '1700GBP.PZ^B09']",{'error': 'No best match available'},GB00B28B2809,,,
154084668157,154084668157,2314210,EC,BM,BM,2007-11-22,HipCricket Inc,4298009415.0,IPO,Live,United States,2007-11-27,,8.2212962,London AIM,Ordinary Participating Certificates,Offer for Subscription,na,Technology,Collins Stewart Ltd,Euro & Foreign Common Stock,2.6,-999.0,5.364,5.602,,USU4331P1031,,{'error': 'No best match available'},USU4331P1031,Unknown symbol,,
154084670801,154084670801,118174,UKC,BM,BM,1994-02-11,Clinical Computing PLC,4295895977.0,IPO,Live,United Kingdom,,,5.022,London AIM,Ordinary Or Common Shares,Firm Commitment,na,Technology,Keith Bayley Rogers,UK Common Stock,1.24,-999.0,,,,GB0002063369,"['CLC.L^E12', 'CLC.VX^I07', 'CLCGBP.DEp^C08', 'CLCEUR.PAp^C08', 'CLCEUR.DEp^C08', 'CLCGBP.PAp^C08', 'CLCGBP.SGp^C08', 'CLKPF.PK^H09', 'CLCEUR.SGp^C08', 'CLCGBP.OLp^C08', 'CLCEUR.STp^C08', 'CLCGBP.STp^C08', 'CLCEUR.OLp^C08', 'CLC.PZ^I07', 'CLCgb.PZ^A12', 'CLC.JW^G02', 'CLC.rGBP^B08', 'CLC.PZ^B09', 'CLCGBP.PZp^B09', 'CLC.TP^H01', 'CLC.D.JW^H02', 'CLC.mEUR^D12', 'CLCl.INS^K08', 'CLC.mGBP^D12', 'CLCEUR.Ip^C08', 'CLC.PO^L08', 'CLCGBP.Ip^C08', 'CLC.rGBP^C08']",{'error': 'No best match available'},GB0002063369,,,
154084672095,154084672095,118297,UKC,BM,BM,1994-02-22,Radstone Technology PLC,4295896095.0,IPO,Live,United Kingdom,,,12.5289325,London AIM,Ordinary Or Common Shares,Offer for Subscription,0.75040,Technology,Beeson Gregory Ltd,UK Common Stock,1.25,0.75,,,,,,,,,,
154084673049,154084673049,119935,UKC,BM|CM,BM|CM,1994-06-22,3i Group PLC,4295895807.0,IPO,Live,United Kingdom,,,711.51722752,London AIM,Ordinary Or Common Shares,Offer for Subscription,0.62500,Financials,Baring Brothers & Co Ltd,UK Common Stock,2.72,0.625,,,,,,,,,,
154084673663,154084673663,121863,UKC,BM,BM,1994-12-05,RAP Group PLC,,IPO,Live,United Kingdom,,,6.059637,London AIM,Ordinary Or Common Shares,Offer for Subscription,1.00000,Consumer Cyclicals,Williams de Broe PLC,UK Common Stock,1.42,1.0,,,,,,,,,,
154084674425,154084674425,123108,UKC,BM,BM,1995-05-11,Antonov PLC,4295895054.0,IPO,Live,United Kingdom,,,3.75,London AIM|EuronextAM,Ordinary Or Common Shares,Offer for Subscription,3.00000,Consumer Cyclicals,Henry Cooke Lumsden,UK Common Stock,0.4,3.0,,,,,,,,,,
154084675498,154084675498,501373,UKC,BM|CM,BM|CM,1995-11-24,Celebrated Group PLC,4295895099.0,IPO,Live,United Kingdom,,,2.25,London AIM,Ordinary Or Common Shares,Placement,na,Consumer Cyclicals,Not Available,UK Common Stock,0.18,-999.0,,,,,,,,,,
